adult female bobcat,allows,mate to help
adult female river otter,allows,mate to help
baby marten,begins,to crawl
baby western spotted skunk,begins,to crawl
baby striped skunk,begins,to crawl
beaver,builds,dam
adult striped skunk,builds,nest
adult female least weasel,can,be in heat
raccoon,can,be tamed
river otter,can,be tamed
adult female polar bear,can,breed
adult female wolverine,can,breed
adult bobcat,can,climb
adult cougar,can,climb
adult ermine,can,climb
adult lynx,can,climb
adult raccoon,can,climb
adult western spotted skunk,can,climb
adult wolverine,can,climb
adult black bear,can,climb
grey fox,can,climb
moose,can,dive
baby sea otter,can,float
baby little brown bat,can,fly
adult black bear,can,run
adult striped skunk,can,run
adult polar bear,can,run
adult swift fox,can,run
adult wolf,can,run
adult western spotted skunk,can,run
adult raccoon,can,run
muskrat,can,stay underwater
adult sea otter,can,stay underwater
adult polar bear,can,stay underwater
adult black bear,can,swim
adult bobcat,can,swim
adult cougar,can,swim
adult coyote,can,swim
adult ermine,can,swim
adult fisher,can,swim
adult lynx,can,swim
adult marten,can,swim
adult mink,can,swim
adult raccoon,can,swim
adult river otter,can,swim
adult wolverine,can,swim
caribou,can,swim
moose,can,swim
adult sea otter,can,swim
beaver,can,swim
polar bear,can,swim
adult polar bear,can,swim
muskrat,can,swim
polar bear,can be killed by,humans
wolverine,can be killed by,humans
polar bear,can be killed by,killer whale
polar bear,can be killed by,male walrus
wolverine,can be killed by,porcupines
wolverine,can be killed by,wolves
adult female bobcat,chases away,her mate when babies are born
adult female river otter,chases away,her mate when babies are born
adult female striped skunk,chases away,opposite sex after mating
adult marten,chases away,opposite sex after mating
deer,chews,its cud
muskox,chews,its cud
adult wolverine,defends food against,grizzly bear
adult wolverine,defends food against,wolf
ermine,depends on,mice
adult coyote,digs,den
adult female polar bear,digs,den
adult ermine,does,change colour
adult badger,does,fight
baby ermine,does,grow
adult striped skunk,does,hibernate
adult polar bear,does,hibernate
badger,does,hibernate
bat,does,hibernate
striped skunk,does,hibernate
baby striped skunk,does,hibernate
adult badger,does,hunt
adult wolf,does,kill prey
adult least weasel,does,kill prey
adult ermine,does,kill prey
baby sea otter,does,leaves its mother
baby mink,does,leaves its mother
swift fox cub,does,leaves its mother
adult lynx,does,mark territory
adult bobcat,does,mark territory
adult wolf,does,mark territory
adult male cougar,does,mark territory
caribou,does,migrates
baby marten,does,opens ears
baby ermine,does,opens eyes
baby fisher,does,opens eyes
baby least weasel,does,opens eyes
baby long-tailed weasel,does,opens eyes
baby marten,does,opens eyes
baby mink,does,opens eyes
baby raccoon,does,opens eyes
baby river otter,does,opens eyes
baby striped skunk,does,opens eyes
baby western spotted skunk,does,opens eyes
bobcat kitten,does,opens eyes
cougar kitten,does,opens eyes
lynx kitten,does,opens eyes
polar bear cub,does,opens eyes
red fox cub,does,opens eyes
wolf cub,does,opens eyes
grey fox cub,does,reach adult size
swift fox cub,does,reach adult size
adult female cougar,does,reach sexual maturity
adult female ermine,does,reach sexual maturity
adult female mink,does,reach sexual maturity
adult female wolf,does,reach sexual maturity
adult fisher,does,reach sexual maturity
adult grey fox,does,reach sexual maturity
adult least weasel,does,reach sexual maturity
adult male cougar,does,reach sexual maturity
adult male mink,does,reach sexual maturity
adult male wolf,does,reach sexual maturity
adult marten,does,reach sexual maturity
adult polar bear,does,reach sexual maturity
adult red fox,does,reach sexual maturity
adult river otter,does,reach sexual maturity
adult sea otter,does,reach sexual maturity
little brown bat,does,roost
hoary bat,does,roost
adult lynx,does,travel
adult fisher,does,travel
adult female cougar,does,wean babies
adult female coyote,does,wean babies
adult black bear,does not,hibernate
grizzly bear,does not,hibernate
human,does not,hibernate
western spotted skunk,does not,hibernate
adult male cougar,does not,raise babies
baby sea otter,does not,swim
female white-tailed deer,does not have,antlers
adult red fox,eats,acorn
white-tailed deer,eats,acorn
adult least weasel,eats,amphibian
adult marten,eats,amphibian
adult grey fox,eats,apple
beaver,eats,aquatic plant
adult striped skunk,eats,baby bird
adult wolverine,eats,baby bird
adult cougar,eats,beaver
adult wolf,eats,beaver
adult wolverine,eats,beaver
adult river otter,eats,beaver
adult coyote,eats,beef calf
adult red fox,eats,beetle
adult Arctic fox,eats,berries
adult black bear,eats,berries
adult long-tailed weasel,eats,berries
adult marten,eats,berries
adult polar bear,eats,berries
adult red fox,eats,berries
adult wolverine,eats,berries
adult wolf,eats,berries
adult cougar,eats,bighorn sheep
adult wolf,eats,bighorn sheep
adult bobcat,eats,bird
adult cougar,eats,bird
adult grey fox,eats,bird
adult lynx,eats,bird
adult raccoon,eats,bird
adult wolf,eats,bird
adult Arctic fox,eats,bird
adult badger,eats,bird
adult black bear,eats,bird
adult black-footed ferret,eats,bird
adult ermine,eats,bird
adult fisher,eats,bird
adult long-tailed weasel,eats,bird
adult mink,eats,bird
adult red fox,eats,bird
adult western spotted skunk,eats,bird
adult wolverine,eats,birds' eggs
adult marten,eats,birds' eggs
adult wolf,eats,bison
white-tailed deer,eats,blueberries
white-tailed deer,eats,buds
adult striped skunk,eats,buds
muskrat,eats,bulrushes
adult wolf,eats,caribou
adult wolverine,eats,caribou
adult black bear,eats,caribou
adult Arctic fox,eats,carrion
adult black bear,eats,carrion
adult coyote,eats,carrion
adult fisher,eats,carrion
adult polar bear,eats,carrion
adult striped skunk,eats,carrion
adult western spotted skunk,eats,carrion
adult wolverine,eats,carrion
adult lynx,eats,carrion
adult red fox,eats,caterpillars
muskrat,eats,cattails
adult long-tailed weasel,eats,chickens
adult ermine,eats,chipmunk
adult long-tailed weasel,eats,chipmunk
muskrat,eats,clam
adult grey fox,eats,corn
adult raccoon,eats,corn
adult red fox,eats,corn
adult western spotted skunk,eats,corn
adult grey fox,eats,cottontail rabbit
adult raccoon,eats,cottontail rabbit
adult black-footed ferret,eats,cottontail rabbit
adult long-tailed weasel,eats,cottontail rabbit
adult mink,eats,cottontail rabbit
adult red fox,eats,cottontail rabbit
adult western spotted skunk,eats,cottontail rabbit
adult polar bear,eats,crabs
adult sea otter,eats,crabs
adult mink,eats,crayfish
adult raccoon,eats,crayfish
adult red fox,eats,crayfish
adult striped skunk,eats,crayfish
adult red fox,eats,crickets
adult bobcat,eats,deer
adult cougar,eats,deer
adult coyote,eats,deer
adult wolf,eats,deer
adult black bear,eats,deer fawn
adult fisher,eats,deer mouse
adult least weasel,eats,deer mouse
adult long-tailed weasel,eats,deer mouse
adult grey fox,eats,deer mouse
adult marten,eats,deer mouse
adult raccoon,eats,deer mouse
adult coyote,eats,domestic poultry
adult coyote,eats,domestic sheep
adult cougar,eats,domestic stock
adult ermine,eats,earthworms
adult mink,eats,earthworms
adult Arctic fox,eats,eggs
adult polar bear,eats,eggs
adult striped skunk,eats,eggs
adult western spotted skunk,eats,eggs
adult cougar,eats,elk
adult wolf,eats,elk
adult black bear,eats,elk
white-tailed deer,eats,fiddleheads
adult marten,eats,field vole
adult western spotted skunk,eats,field vole
adult Arctic fox,eats,fish
adult black bear,eats,fish
adult ermine,eats,fish
adult grey fox,eats,fish
adult grizzly bear,eats,fish
adult mink,eats,fish
adult polar bear,eats,fish
adult raccoon,eats,fish
adult red fox,eats,fish
adult river otter,eats,fish
adult sea otter,eats,fish
adult wolf,eats,fish
adult wolverine,eats,fish
muskrat,eats,fish
caribou,eats,flowers
adult fisher,eats,flying squirrel
bison,eats,forb
adult lynx,eats,fox
adult raccoon,eats,frog
adult ermine,eats,frog
adult mink,eats,frog
adult red fox,eats,frog
adult river otter,eats,frog
adult striped skunk,eats,frog
adult western spotted skunk,eats,frog
muskrat,eats,frog
adult fisher,eats,fruit
adult raccoon,eats,fruit
adult red fox,eats,fruit
