artificial_physical_objectLabel,material_usedLabel,subclass_ofLabel,useLabel,has_partLabel
Model 1912,,moored contact mine,,100 kg TNT explosive charge
PL-100,,moored contact mine,,100 kg TNT explosive charge
MAB-1,,naval mine,,100 kg TNT explosive charge
Rybka,,moored contact mine,,12 kg TNT explosive charge
FuG 16,,two-way radio,,2 m rod antenna
YaM,,moored contact mine,,20 kg TNT explosive charges
KB,,moored contact mine,,230 kg TNT explosive charge
AGSB,,moored contact mine,,230 kg TNT explosive charge
PLT-G,,floating contact mine,,240 kg TNT explosive charge
PLT,,moored contact mine,,240 kg TNT explosive charge
Model 1926,,moored contact mine,,250 kg TNT explosive charge
AMG-1,,naval mine,,250 kg TNT explosive charge
AMD-1-500,,bottom mine,,300 kg TNT explosive charge
AMD-2-500,,magnetic bottom mine,,300 kg TNT explosive charge
R-1,,moored contact mine,,40 kg explosive charge
Funkkraftwagen,,armored car,,4-speed manual transmission
Maschinengewehrkraftwagen,,armored car,,4-speed manual transmission
Maschinengewehrkraftwagen,,armored car,,4-speed manual transmission
Funkkraftwagen,,armored car,,4-speed manual transmission
Funkkraftwagen,,armored car,,4-speed manual transmission
Maschinengewehrkraftwagen,,armored car,,4-speed manual transmission
kleine Panzerbefehlswagen,,Panzer I,,5-speed manual transmission
kleine Panzerbefehlswagen,,Panzer I,,5-speed manual transmission
kleine Panzerbefehlswagen,,Panzer I,,5-speed manual transmission
Mirab,,magnetic bottom mine,,64 kg TNT explosive charge
Sturmgeschütz IIIG,,Sturmgeschütz III,,6-speed manual transmission
Sturmgeschütz IIIG,,Sturmgeschütz III,,6-speed manual transmission
Sturmgeschütz IIIG,,Sturmgeschütz III,,6-speed manual transmission
AMD-1-1000,,magnetic bottom mine,,700 kg TNT explosive charge
AMD-2-1000,,magnetic bottom mine,,700 kg TNT explosive charge
ThinkPad X200,,laptop,,accelerometer
spot card,,playing card,,ace
spot card,,playing card,,ace
power seat,,car seat,,actuator
AEROS,,weather satellite,,AEROS A
AEROS,,weather satellite,,AEROS A
AEROS,,weather satellite,,AEROS B
AEROS,,weather satellite,,AEROS B
cog,,merchant vessel,,aftercastle
cog,,merchant vessel,,aftercastle
cog,,sailing ship,,aftercastle
cog,,sailing ship,,aftercastle
HVAC,,mechanical system,,air conditioning
automobile,,motor vehicle,,air filter
automobile,,motor vehicle,,air filter
Yorktown-class,,aircraft carrier,,aircraft elevator
Yorktown-class,,aircraft carrier,,aircraft elevator
Yorktown-class,,aircraft carrier,,aircraft elevator
Essex-class (short bow),,Essex-class,,aircraft elevator
Essex-class (SCB-27A),,Essex-class,,aircraft elevator
Essex-class (SCB-27A),,Essex-class,,aircraft elevator
Essex-class (short bow),,Essex-class,,aircraft elevator
Essex-class (SCB-27A),,Essex-class,,aircraft elevator
Essex-class (short bow),,Essex-class,,aircraft elevator
nave,,architectural element,,aisle
nave,,architectural element,,aisle
nave,,building component,,aisle
nave,,building component,,aisle
christocentric church,,church,,aisle
Kalashnikov rifle,,assault rifle,,AK-47
Almirante Latorre-class battleship,,super-dreadnought,,Almirante Latorre
Almirante Latorre-class battleship,,super-dreadnought,,Almirante Latorre
Almirante Latorre-class battleship,,super-dreadnought,,Almirante Latorre
Music Man StingRay 5,,extended-range bass,,alnico
Alsace-Lorraine T 2,,tank locomotive,,Alsace-Lorraine D 4
Alsace-Lorraine T 2,,tank locomotive,,Alsace-Lorraine D 4
Aerospike engine,,rocket engine,,Altitude compensating nozzle
multimeter,,electrical apparatus,,ammeter
multimeter,,electrotechnical   measuring instrument,,ammeter
multimeter,,measuring instrument,,ammeter
hourglass,,timepiece,,ampoule
Bosch 1752G7,,grinding machine,,angle grinder
Bosch 1752,,grinding machine,,angle grinder
DeWalt 28402K,,grinding machine,,angle grinder
Porter Cable PC750AG,,grinding machine,,angle grinder
Bosch 1375A,,grinding machine,,angle grinder
